date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-07-01 00:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,11,17,17,17,10,12,67,0.0,1016,17,10,320,5,brasilia
2020-07-01 01:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,11,17,17,17,9,10,68,0.0,1016,17,10,321,5,brasilia
2020-07-01 02:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,11,17,17,17,8,9,69,0.0,1015,17,10,323,4,brasilia
2020-07-01 03:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,11,17,17,17,7,8,70,0.0,1015,17,10,325,4,brasilia
2020-07-01 04:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,11,16,16,16,8,9,72,0.0,1015,16,10,328,4,brasilia
2020-07-01 05:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,11,16,16,16,9,10,73,0.0,1016,16,10,331,5,brasilia
2020-07-01 06:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,16,16,16,10,11,75,0.0,1016,16,10,335,5,brasilia
2020-07-01 07:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,18,19,18,10,11,68,0.0,1016,18,10,326,6,brasilia
2020-07-01 08:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,20,22,20,10,12,61,0.0,1017,20,10,318,8,brasilia
2020-07-01 09:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,22,24,22,10,13,54,0.0,1017,22,10,310,9,brasilia
2020-07-01 10:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,25,25,23,11,16,50,0.0,1016,23,10,296,10,brasilia
2020-07-01 11:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,11,25,25,24,12,18,46,0.0,1016,24,10,281,11,brasilia
2020-07-01 12:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,11,26,26,25,13,21,41,0.0,1015,25,10,267,12,brasilia
2020-07-01 13:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,11,25,25,25,13,35,43,0.0,1014,25,10,261,11,brasilia
2020-07-01 14:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,11,25,25,25,12,48,44,0.0,1013,25,10,255,11,brasilia
2020-07-01 15:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,25,25,24,12,62,45,0.0,1012,24,10,248,10,brasilia
2020-07-01 16:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,25,25,24,9,58,48,0.0,1012,24,10,252,8,brasilia
2020-07-01 17:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,25,25,23,7,54,50,0.0,1012,23,10,255,5,brasilia
2020-07-01 18:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,25,25,22,5,51,53,0.0,1013,22,10,258,3,brasilia
2020-07-01 19:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,22,23,22,4,36,55,0.0,1013,22,10,239,3,brasilia
2020-07-01 20:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,12,21,22,21,4,22,58,0.0,1013,21,10,219,2,brasilia
2020-07-01 21:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,13,21,21,21,4,7,60,0.0,1014,21,10,199,2,brasilia
2020-07-01 22:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,13,20,20,20,5,14,63,0.0,1014,20,10,205,3,brasilia
2020-07-01 23:00:00,25,16,0.0,7.2,6,72,02:48 PM,02:56 AM,06:39 AM,05:52 PM,13,19,19,19,6,21,67,0.0,1014,19,10,211,3,brasilia
2020-07-02 00:00:00,27,17,0.0,8.7,6,79,03:39 PM,03:57 AM,06:39 AM,05:52 PM,13,19,19,19,8,28,70,0.0,1014,19,10,217,4,brasilia
2020-07-02 01:00:00,27,17,0.0,8.7,6,79,03:39 PM,03:57 AM,06:39 AM,05:52 PM,13,18,18,18,7,24,71,0.0,1014,18,10,216,4,brasilia
2020-07-02 02:00:00,27,17,0.0,8.7,6,79,03:39 PM,03:57 AM,06:39 AM,05:52 PM,13,18,18,18,7,20,73,0.0,1014,18,10,215,3,brasilia
2020-07-02 03:00:00,27,17,0.0,8.7,6,79,03:39 PM,03:57 AM,06:39 AM,05:52 PM,13,18,18,18,6,16,75,0.0,1014,18,10,214,3,brasilia
2020-07-02 04:00:00,27,17,0.0,8.7,6,79,03:39 PM,03:57 AM,06:39 AM,05:52 PM,13,17,17,17,5,17,77,0.0,1014,17,10,205,3,brasilia
2020-07-02 05:00:00,27,17,0.0,8.7,6,79,03:39 PM,03:57 AM,06:39 AM,05:52 PM,13,17,17,17,4,17,79,0.0,1014,17,10,196,2,brasilia
2020-07-02 06:00:00,27,17,0.0,8.7,6,79,03:39 PM,03:57 AM,06:39 AM,05:52 PM,14,17,17,17,4,18,81,0.0,1014,17,10,186,2,brasilia
2020-07-02 07:00:00,27,17,0.0,8.7,6,79,03:39 PM,03:57 AM,06:39 AM,05:52 PM,14,19,20,19,3,16,74,0.0,1015,19,10,166,2,brasilia
