date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-07-01 00:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,11,17,17,17,21,71,69,0.0,1008,17,10,219,13,berlin
2020-07-01 01:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,11,17,17,17,23,72,70,0.0,1008,17,10,221,14,berlin
2020-07-01 02:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,11,17,17,17,25,73,71,0.0,1007,17,10,222,15,berlin
2020-07-01 03:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,12,17,17,17,27,74,72,0.0,1007,17,10,224,16,berlin
2020-07-01 04:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,12,17,17,17,26,77,72,0.0,1007,17,10,227,16,berlin
2020-07-01 05:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,12,17,17,17,26,81,72,0.0,1007,17,10,230,17,berlin
2020-07-01 06:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,13,18,18,18,25,84,73,0.0,1007,18,10,232,17,berlin
2020-07-01 07:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,14,18,18,18,24,88,76,0.0,1007,18,10,231,16,berlin
2020-07-01 08:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,14,18,18,18,23,92,79,0.2,1007,18,10,230,16,berlin
2020-07-01 09:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,15,18,18,18,22,96,83,0.3,1007,18,9,229,15,berlin
2020-07-01 10:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,15,18,18,18,19,97,84,0.1,1007,18,9,229,14,berlin
2020-07-01 11:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,16,18,18,18,17,99,86,0.8,1007,18,8,228,12,berlin
2020-07-01 12:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,16,18,18,18,14,100,88,1.1,1007,18,8,228,10,berlin
2020-07-01 13:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,16,19,20,19,16,97,83,0.6,1007,19,8,233,12,berlin
2020-07-01 14:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,17,21,21,21,17,93,79,0.6,1007,21,8,239,14,berlin
2020-07-01 15:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,17,22,23,22,19,90,74,0.8,1007,22,8,244,15,berlin
2020-07-01 16:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,17,22,23,22,18,87,74,0.4,1006,22,9,247,15,berlin
2020-07-01 17:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,17,22,24,22,18,83,75,0.5,1006,22,9,249,14,berlin
2020-07-01 18:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,17,25,25,22,17,80,75,0.6,1006,22,10,251,13,berlin
2020-07-01 19:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,17,21,23,21,17,73,78,0.3,1006,21,10,250,12,berlin
2020-07-01 20:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,17,20,22,20,17,67,82,0.3,1006,20,10,249,11,berlin
2020-07-01 21:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,17,20,21,20,17,60,86,0.4,1007,20,10,249,10,berlin
2020-07-01 22:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,17,19,20,19,17,63,87,0.2,1007,19,10,251,10,berlin
2020-07-01 23:00:00,24,16,0.0,13.4,4,72,05:24 PM,02:13 AM,04:48 AM,09:33 PM,16,18,19,18,17,66,88,0.2,1007,18,10,253,10,berlin
2020-07-02 00:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,16,18,18,18,17,70,89,0.2,1007,18,9,255,10,berlin
2020-07-02 01:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,16,17,17,17,16,64,90,0.1,1007,17,8,253,10,berlin
2020-07-02 02:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,15,17,17,17,16,57,91,0.1,1008,17,6,251,9,berlin
2020-07-02 03:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,15,16,16,16,15,51,92,0.1,1008,16,4,249,9,berlin
2020-07-02 04:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,15,16,16,16,15,48,90,0.0,1008,16,5,251,10,berlin
2020-07-02 05:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,15,17,17,17,15,44,88,0.0,1009,17,6,253,11,berlin
2020-07-02 06:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,14,17,17,17,15,41,86,0.0,1009,17,7,255,11,berlin
2020-07-02 07:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,14,18,19,18,17,47,80,0.0,1009,18,8,256,13,berlin
2020-07-02 08:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,14,19,20,19,18,54,73,0.0,1010,19,9,256,14,berlin
2020-07-02 09:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,13,20,22,20,19,61,67,0.0,1010,20,10,257,16,berlin
2020-07-02 10:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,13,21,23,21,19,55,62,0.0,1010,21,10,255,16,berlin
2020-07-02 11:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,13,24,24,22,19,49,57,0.0,1010,22,10,253,17,berlin
2020-07-02 12:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,13,25,25,23,19,43,52,0.0,1010,23,10,252,17,berlin
2020-07-02 13:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,13,25,25,24,19,39,50,0.0,1010,24,10,253,16,berlin
2020-07-02 14:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,13,25,25,24,18,36,49,0.0,1009,24,10,253,15,berlin
2020-07-02 15:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,13,25,25,25,17,32,48,0.0,1009,25,10,254,15,berlin
2020-07-02 16:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,13,25,25,24,16,36,51,0.0,1009,24,10,264,13,berlin
2020-07-02 17:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,14,25,25,24,14,40,54,0.0,1009,24,10,274,12,berlin
2020-07-02 18:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,15,25,25,24,13,44,58,0.0,1009,24,10,284,10,berlin
2020-07-02 19:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,15,24,24,22,13,53,64,0.0,1009,22,10,291,9,berlin
2020-07-02 20:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,15,21,22,21,13,62,69,0.2,1009,21,10,298,8,berlin
2020-07-02 21:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,15,20,21,20,13,72,75,0.3,1009,20,10,305,8,berlin
2020-07-02 22:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,15,19,19,19,15,79,79,0.2,1010,19,10,300,9,berlin
2020-07-02 23:00:00,25,15,0.0,15.8,5,79,06:47 PM,02:38 AM,04:49 AM,09:32 PM,15,18,18,18,17,87,83,0.5,1010,18,10,296,10,berlin
2020-07-03 00:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,15,17,17,17,19,94,87,0.7,1011,17,10,292,12,berlin
2020-07-03 01:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,14,16,16,16,19,91,88,0.3,1011,16,10,289,12,berlin
2020-07-03 02:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,14,15,16,15,19,87,89,0.3,1012,16,10,287,12,berlin
2020-07-03 03:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,14,15,15,15,19,83,90,0.4,1012,15,9,285,13,berlin
2020-07-03 04:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,13,15,15,15,19,81,88,0.2,1013,15,9,282,13,berlin
2020-07-03 05:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,13,15,16,15,19,80,85,0.1,1013,16,9,280,14,berlin
2020-07-03 06:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,13,16,16,16,18,78,83,0.1,1014,16,9,278,14,berlin
2020-07-03 07:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,13,17,17,17,19,66,77,0.1,1014,17,9,275,15,berlin
2020-07-03 08:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,12,18,18,18,20,53,71,0.0,1015,18,9,273,16,berlin
2020-07-03 09:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,12,19,19,19,21,41,65,0.0,1015,19,10,271,17,berlin
2020-07-03 10:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,12,20,20,20,20,39,60,0.0,1015,20,10,271,17,berlin
2020-07-03 11:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,11,21,22,21,20,37,55,0.0,1015,21,10,271,17,berlin
2020-07-03 12:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,11,22,23,22,20,36,50,0.0,1015,22,10,271,17,berlin
2020-07-03 13:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,11,24,24,22,20,44,50,0.0,1015,22,10,270,17,berlin
2020-07-03 14:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,11,24,24,22,19,53,50,0.0,1015,22,10,270,17,berlin
2020-07-03 15:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,12,25,25,23,19,61,49,0.0,1015,23,10,269,17,berlin
2020-07-03 16:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,12,25,25,23,17,65,53,0.0,1015,23,10,266,15,berlin
2020-07-03 17:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,13,25,25,23,15,69,56,0.1,1015,23,10,263,13,berlin
2020-07-03 18:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,14,25,25,23,14,73,59,0.1,1015,23,10,260,12,berlin
2020-07-03 19:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,14,22,24,22,14,60,63,0.0,1015,22,10,254,11,berlin
2020-07-03 20:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,14,21,23,21,15,46,68,0.0,1015,21,10,248,10,berlin
2020-07-03 21:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,14,20,22,20,16,33,72,0.0,1016,20,10,242,9,berlin
2020-07-03 22:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,13,19,21,19,17,33,73,0.0,1016,19,10,236,10,berlin
2020-07-03 23:00:00,23,15,0.0,15.0,5,86,08:05 PM,03:10 AM,04:49 AM,09:32 PM,13,18,19,18,18,33,75,0.0,1016,18,10,230,10,berlin
2020-07-04 00:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,13,17,18,17,19,33,77,0.0,1016,17,10,224,10,berlin
2020-07-04 01:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,13,17,17,17,21,32,78,0.0,1016,17,10,219,11,berlin
2020-07-04 02:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,13,16,17,16,22,31,79,0.0,1016,16,10,214,12,berlin
2020-07-04 03:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,16,16,16,23,31,81,0.0,1016,16,10,209,12,berlin
2020-07-04 04:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,17,17,17,22,29,77,0.0,1016,17,10,216,13,berlin
2020-07-04 05:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,17,17,17,22,26,74,0.0,1016,17,10,224,14,berlin
2020-07-04 06:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,18,18,18,22,24,70,0.0,1016,18,10,231,15,berlin
2020-07-04 07:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,19,20,19,22,23,65,0.0,1015,19,10,235,16,berlin
2020-07-04 08:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,20,21,20,22,21,60,0.0,1015,20,10,240,18,berlin
2020-07-04 09:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,21,23,21,22,20,55,0.0,1015,21,10,244,19,berlin
2020-07-04 10:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,24,24,22,22,28,52,0.0,1015,22,10,242,19,berlin
2020-07-04 11:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,24,24,23,22,36,49,0.0,1015,23,10,240,19,berlin
2020-07-04 12:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,25,25,24,22,43,47,0.0,1015,24,10,238,19,berlin
2020-07-04 13:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,12,25,25,24,21,52,49,0.0,1015,24,10,239,18,berlin
2020-07-04 14:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,13,25,25,23,20,61,51,0.0,1014,23,10,239,18,berlin
2020-07-04 15:00:00,25,15,0.0,15.0,6,94,09:13 PM,03:51 AM,04:50 AM,09:31 PM,13,25,25,23,19,70,53,0.0,1014,23,10,240,17,berlin
