date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-07-01 00:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,32,32,28,31,99,86,3.2,1003,28,7,197,17,mumbai
2020-07-01 01:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,32,32,28,32,98,86,1.6,1003,28,7,195,18,mumbai
2020-07-01 02:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,32,32,28,34,96,85,1.5,1003,28,7,193,19,mumbai
2020-07-01 03:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,32,32,28,35,95,85,2.0,1002,28,7,190,19,mumbai
2020-07-01 04:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,32,32,28,35,91,84,1.0,1003,28,7,186,20,mumbai
2020-07-01 05:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,32,32,28,35,88,84,1.6,1003,28,8,181,20,mumbai
2020-07-01 06:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,32,32,28,35,85,84,2.1,1003,28,8,176,20,mumbai
2020-07-01 07:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,33,33,28,33,82,82,1.0,1003,28,9,174,21,mumbai
2020-07-01 08:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,34,34,29,31,79,80,0.3,1004,29,9,172,21,mumbai
2020-07-01 09:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,34,34,29,29,76,79,0.4,1004,29,10,170,22,mumbai
2020-07-01 10:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,35,35,29,30,74,78,0.2,1004,29,10,178,23,mumbai
2020-07-01 11:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,35,35,30,32,73,76,0.3,1004,30,10,186,24,mumbai
2020-07-01 12:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,36,36,30,33,72,75,0.4,1004,30,10,194,25,mumbai
2020-07-01 13:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,36,36,30,33,73,75,0.2,1003,30,9,200,25,mumbai
2020-07-01 14:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,36,36,30,32,74,74,0.3,1003,30,9,206,25,mumbai
2020-07-01 15:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,36,36,30,32,76,73,0.4,1003,30,9,212,25,mumbai
2020-07-01 16:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,36,36,30,31,76,74,0.2,1003,30,9,215,24,mumbai
2020-07-01 17:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,36,36,30,30,77,74,0.5,1003,30,9,217,22,mumbai
2020-07-01 18:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,35,35,30,29,78,75,0.6,1003,30,9,219,21,mumbai
2020-07-01 19:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,35,35,30,30,73,75,0.3,1003,30,9,217,21,mumbai
2020-07-01 20:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,35,35,29,31,69,75,0.8,1004,29,9,215,21,mumbai
2020-07-01 21:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,35,35,29,32,65,76,1.1,1004,29,9,213,21,mumbai
2020-07-01 22:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,35,35,29,31,69,76,0.6,1004,29,9,209,20,mumbai
2020-07-01 23:00:00,30,27,0.0,6.6,6,72,03:38 PM,02:31 AM,06:05 AM,07:20 PM,25,34,34,29,30,74,76,0.8,1004,29,8,206,19,mumbai
2020-07-02 00:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,34,34,29,28,79,76,1.0,1004,29,8,203,18,mumbai
2020-07-02 01:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,34,34,29,25,81,77,0.5,1004,29,8,198,16,mumbai
2020-07-02 02:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,34,34,29,21,82,77,0.5,1003,29,9,192,15,mumbai
2020-07-02 03:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,34,34,29,18,84,78,0.6,1003,29,9,187,13,mumbai
2020-07-02 04:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,34,34,29,19,80,78,0.3,1003,29,10,181,14,mumbai
2020-07-02 05:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,34,34,29,21,76,78,0.6,1003,29,10,176,15,mumbai
2020-07-02 06:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,33,33,29,22,73,79,0.8,1003,29,10,171,15,mumbai
2020-07-02 07:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,34,34,29,22,70,78,0.4,1004,29,10,174,16,mumbai
2020-07-02 08:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,34,34,29,23,68,76,0.3,1004,29,10,178,17,mumbai
2020-07-02 09:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,35,35,30,23,66,75,0.4,1004,30,10,182,17,mumbai
2020-07-02 10:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,36,36,30,23,65,73,0.2,1004,30,10,191,18,mumbai
2020-07-02 11:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,36,36,30,24,65,72,0.2,1003,30,9,200,19,mumbai
2020-07-02 12:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,37,37,31,24,64,70,0.3,1003,31,9,209,19,mumbai
2020-07-02 13:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,37,37,31,24,56,70,0.1,1003,31,10,216,19,mumbai
2020-07-02 14:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,37,37,31,24,48,70,0.0,1002,31,10,222,19,mumbai
2020-07-02 15:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,37,37,31,23,39,70,0.0,1002,31,10,228,19,mumbai
2020-07-02 16:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,37,37,31,23,46,71,0.0,1002,31,10,228,19,mumbai
2020-07-02 17:00:00,31,28,0.0,9.1,7,79,04:40 PM,03:18 AM,06:05 AM,07:21 PM,25,37,37,31,23,52,72,0.3,1002,31,10,228,18,mumbai
