date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-07-01 00:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,19,27,27,26,2,4,66,0.0,1014,26,10,114,2,rome
2020-07-01 01:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,18,27,27,25,3,4,66,0.0,1014,25,10,90,2,rome
2020-07-01 02:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,18,26,26,25,3,5,66,0.0,1013,25,10,66,2,rome
2020-07-01 03:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,18,26,26,25,4,5,66,0.0,1013,25,10,42,3,rome
2020-07-01 04:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,18,26,26,25,3,6,63,0.0,1013,25,10,69,3,rome
2020-07-01 05:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,27,27,25,3,6,61,0.0,1013,25,10,95,3,rome
2020-07-01 06:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,27,27,26,3,7,59,0.0,1014,26,10,122,3,rome
2020-07-01 07:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,28,28,27,5,7,55,0.0,1014,27,10,146,4,rome
2020-07-01 08:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,29,29,28,7,7,51,0.0,1014,28,10,169,6,rome
2020-07-01 09:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,30,30,29,9,7,48,0.0,1014,29,10,193,8,rome
2020-07-01 10:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,30,30,30,11,6,46,0.0,1013,30,10,199,9,rome
2020-07-01 11:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,31,31,30,12,5,44,0.0,1013,30,10,206,11,rome
2020-07-01 12:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,32,32,31,14,4,42,0.0,1013,31,10,213,13,rome
2020-07-01 13:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,32,32,31,15,3,42,0.0,1013,31,10,213,13,rome
2020-07-01 14:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,32,32,31,15,3,42,0.0,1013,31,10,214,13,rome
2020-07-01 15:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,32,32,31,15,3,42,0.0,1013,31,10,215,13,rome
2020-07-01 16:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,17,31,31,30,14,3,45,0.0,1012,30,10,213,12,rome
2020-07-01 17:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,18,31,31,30,13,3,48,0.0,1012,30,10,210,11,rome
2020-07-01 18:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,18,30,30,29,12,3,52,0.0,1012,29,10,208,10,rome
2020-07-01 19:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,18,30,30,28,10,3,56,0.0,1012,28,10,202,9,rome
2020-07-01 20:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,19,29,29,28,9,3,60,0.0,1012,28,10,196,8,rome
2020-07-01 21:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,19,29,29,27,7,3,64,0.0,1013,27,10,190,6,rome
2020-07-01 22:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,20,28,28,27,6,3,65,0.0,1013,27,10,163,5,rome
2020-07-01 23:00:00,32,24,0.0,14.5,7,72,04:58 PM,02:39 AM,05:39 AM,08:49 PM,20,28,28,27,5,3,66,0.0,1013,27,10,137,4,rome
2020-07-02 00:00:00,32,24,0.0,14.5,8,79,06:11 PM,03:14 AM,05:40 AM,08:49 PM,20,28,28,26,4,3,67,0.0,1013,26,10,111,4,rome
2020-07-02 01:00:00,32,24,0.0,14.5,8,79,06:11 PM,03:14 AM,05:40 AM,08:49 PM,19,27,27,26,4,7,68,0.0,1012,26,10,122,3,rome
2020-07-02 02:00:00,32,24,0.0,14.5,8,79,06:11 PM,03:14 AM,05:40 AM,08:49 PM,19,27,27,25,3,11,68,0.0,1012,25,10,134,3,rome
