date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-07-01 00:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,13,16,16,16,21,94,84,0.0,1005,16,10,230,14,london
2020-07-01 01:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,13,15,16,15,21,90,84,0.0,1005,16,10,232,14,london
2020-07-01 02:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,13,15,15,15,21,86,84,0.0,1004,15,10,233,14,london
2020-07-01 03:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,12,14,15,14,21,82,84,0.0,1004,15,10,235,14,london
2020-07-01 04:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,11,15,15,15,22,76,78,0.0,1004,15,10,238,16,london
2020-07-01 05:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,10,15,16,15,24,71,72,0.0,1004,16,10,240,17,london
2020-07-01 06:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,9,16,16,16,25,65,65,0.0,1004,16,10,243,19,london
2020-07-01 07:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,10,17,17,17,24,67,62,0.0,1004,17,10,243,19,london
2020-07-01 08:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,10,18,18,18,23,68,58,0.0,1005,18,10,243,19,london
2020-07-01 09:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,10,19,19,19,22,69,55,0.0,1005,19,10,243,19,london
2020-07-01 10:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,10,20,20,20,22,65,55,0.0,1005,20,10,244,19,london
2020-07-01 11:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,11,20,20,20,22,61,54,0.0,1005,20,10,246,19,london
2020-07-01 12:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,11,21,21,21,22,57,54,0.0,1005,21,10,248,19,london
2020-07-01 13:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,11,20,20,20,24,61,57,0.0,1005,20,10,248,20,london
2020-07-01 14:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,12,20,20,20,25,66,60,0.2,1005,20,9,248,21,london
2020-07-01 15:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,12,19,19,19,26,70,64,0.3,1005,19,9,248,21,london
2020-07-01 16:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,12,18,19,18,26,55,61,0.1,1005,18,9,244,21,london
2020-07-01 17:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,12,16,18,16,25,39,59,0.0,1005,16,10,240,21,london
2020-07-01 18:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,11,15,18,15,25,24,57,0.0,1005,15,10,237,20,london
2020-07-01 19:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,12,14,17,14,24,40,62,0.0,1006,14,10,241,19,london
2020-07-01 20:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,12,12,16,12,23,55,68,0.0,1006,12,10,246,17,london
2020-07-01 21:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,13,11,15,11,23,71,73,0.0,1007,11,10,251,16,london
2020-07-01 22:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,12,12,15,12,22,62,74,0.0,1007,12,10,254,15,london
2020-07-01 23:00:00,21,11,0.0,14.2,4,72,05:18 PM,02:10 AM,04:48 AM,09:21 PM,11,13,15,13,21,52,75,0.0,1007,13,10,257,15,london
2020-07-02 00:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,14,15,14,20,43,76,0.0,1007,15,10,261,15,london
2020-07-02 01:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,13,14,13,20,54,77,0.0,1008,14,10,257,15,london
2020-07-02 02:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,13,14,13,20,65,78,0.0,1008,14,10,252,14,london
2020-07-02 03:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,13,14,13,19,75,78,0.0,1008,14,10,248,14,london
2020-07-02 04:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,13,14,13,20,74,78,0.0,1008,14,10,248,15,london
2020-07-02 05:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,13,14,13,20,73,77,0.0,1009,14,10,247,15,london
2020-07-02 06:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,13,14,13,20,72,77,0.0,1009,14,10,247,15,london
2020-07-02 07:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,14,15,14,19,80,72,0.0,1009,15,10,249,16,london
2020-07-02 08:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,16,16,16,19,88,66,0.0,1010,16,10,252,16,london
2020-07-02 09:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,17,17,17,18,95,61,0.0,1010,17,10,255,16,london
2020-07-02 10:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,18,18,18,18,76,59,0.0,1010,18,10,251,16,london
2020-07-02 11:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,19,19,19,19,57,57,0.0,1011,19,10,248,16,london
2020-07-02 12:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,19,19,19,19,38,54,0.0,1011,19,10,244,16,london
2020-07-02 13:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,10,20,21,20,21,44,53,0.0,1011,20,10,253,17,london
2020-07-02 14:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,11,21,23,21,23,51,52,0.3,1011,21,10,261,19,london
2020-07-02 15:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,11,22,24,22,25,57,50,0.4,1011,22,10,269,20,london
2020-07-02 16:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,11,21,23,21,23,53,52,0.2,1012,21,10,271,18,london
2020-07-02 17:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,11,21,22,21,20,49,54,0.0,1012,21,10,273,17,london
2020-07-02 18:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,12,21,21,21,18,45,56,0.0,1012,21,10,275,15,london
2020-07-02 19:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,12,20,20,20,16,58,61,0.0,1013,20,10,278,13,london
2020-07-02 20:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,13,19,19,19,14,70,67,0.1,1013,19,9,281,11,london
2020-07-02 21:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,13,18,18,18,12,83,73,0.1,1014,18,9,285,9,london
2020-07-02 22:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,13,17,17,17,12,89,76,0.1,1014,17,9,283,9,london
2020-07-02 23:00:00,22,14,0.0,15.0,5,79,06:39 PM,02:37 AM,04:48 AM,09:21 PM,13,17,17,17,13,94,78,0.1,1015,17,10,281,9,london
2020-07-03 00:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,13,16,16,16,13,100,81,0.1,1015,16,10,279,9,london
2020-07-03 01:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,11,15,16,15,14,82,77,0.0,1015,16,10,274,10,london
2020-07-03 02:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,10,15,15,15,15,65,73,0.0,1015,15,10,270,11,london
2020-07-03 03:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,9,14,15,14,15,47,69,0.0,1016,15,10,266,11,london
2020-07-03 04:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,9,14,15,14,17,46,70,0.0,1016,15,10,263,12,london
2020-07-03 05:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,9,14,15,14,18,44,72,0.0,1016,15,10,261,14,london
2020-07-03 06:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,10,13,15,13,19,42,73,0.0,1017,15,10,258,15,london
2020-07-03 07:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,9,15,15,15,19,53,68,0.0,1017,15,10,253,16,london
2020-07-03 08:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,9,16,16,16,19,65,63,0.0,1017,16,10,247,16,london
2020-07-03 09:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,9,17,17,17,19,76,57,0.0,1017,17,10,241,17,london
2020-07-03 10:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,9,18,18,18,22,62,55,0.0,1017,18,10,238,19,london
2020-07-03 11:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,9,19,19,19,24,47,53,0.0,1017,19,10,235,21,london
2020-07-03 12:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,9,20,20,20,27,33,51,0.0,1017,20,10,232,23,london
2020-07-03 13:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,9,20,21,20,28,37,50,0.0,1016,20,10,233,24,london
2020-07-03 14:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,10,21,23,21,29,41,49,0.0,1016,21,10,233,25,london
2020-07-03 15:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,10,21,24,21,30,45,48,0.0,1016,21,10,234,26,london
2020-07-03 16:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,10,20,22,20,31,49,53,0.0,1016,20,10,236,26,london
2020-07-03 17:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,11,19,20,19,31,54,58,0.0,1015,19,10,237,26,london
2020-07-03 18:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,11,18,18,18,32,59,63,0.0,1015,18,10,239,26,london
2020-07-03 19:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,11,18,18,18,33,69,67,0.0,1015,18,7,237,26,london
2020-07-03 20:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,11,17,17,17,33,78,71,0.2,1015,17,5,234,26,london
2020-07-03 21:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,11,16,16,16,34,88,75,0.2,1015,16,2,231,26,london
2020-07-03 22:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,12,16,16,16,34,92,77,0.1,1015,16,5,231,25,london
2020-07-03 23:00:00,21,15,0.0,15.8,4,86,07:56 PM,03:10 AM,04:49 AM,09:20 PM,12,16,16,16,34,96,79,0.0,1014,16,7,230,25,london
2020-07-04 00:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,13,16,16,16,34,100,81,0.0,1014,16,10,229,24,london
2020-07-04 01:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,13,16,16,16,35,100,83,0.0,1013,16,7,227,25,london
2020-07-04 02:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,13,16,16,16,36,100,85,0.1,1012,16,5,224,26,london
2020-07-04 03:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,14,16,16,16,37,100,88,0.2,1011,16,2,222,26,london
2020-07-04 04:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,14,16,16,16,36,100,87,0.1,1011,16,5,223,25,london
2020-07-04 05:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,14,17,17,17,35,100,86,0.0,1011,17,7,223,24,london
2020-07-04 06:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,15,17,17,17,33,100,86,0.0,1011,17,10,224,23,london
2020-07-04 07:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,15,17,17,17,32,100,85,0.0,1011,17,10,227,23,london
2020-07-04 08:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,15,18,18,18,31,100,84,0.0,1011,18,10,230,23,london
2020-07-04 09:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,15,18,18,18,30,100,83,0.0,1011,18,10,233,23,london
2020-07-04 10:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,15,19,19,19,29,100,81,0.0,1011,19,10,232,22,london
2020-07-04 11:00:00,20,15,0.0,12.5,4,94,09:03 PM,03:52 AM,04:50 AM,09:20 PM,15,19,19,19,27,100,78,0.0,1011,19,10,231,22,london
