date_time,humidity,tempC,windspeedKmph,location,country
2020-07-01 00:00:00,74,20,10,los+angeles,USA
2020-07-01 01:00:00,75,19,10,los+angeles,USA
2020-07-01 02:00:00,77,19,9,los+angeles,USA
2020-07-01 03:00:00,78,18,9,los+angeles,USA
2020-07-01 04:00:00,78,18,8,los+angeles,USA
2020-07-01 05:00:00,77,18,8,los+angeles,USA
2020-07-01 06:00:00,77,18,7,los+angeles,USA
2020-07-01 07:00:00,74,19,7,los+angeles,USA
2020-07-01 08:00:00,70,19,8,los+angeles,USA
2020-07-01 09:00:00,67,20,8,los+angeles,USA
2020-07-01 10:00:00,62,21,10,los+angeles,USA
2020-07-01 11:00:00,57,22,11,los+angeles,USA
2020-07-01 12:00:00,51,24,13,los+angeles,USA
2020-07-01 13:00:00,49,24,14,los+angeles,USA
2020-07-01 14:00:00,46,25,15,los+angeles,USA
2020-07-01 15:00:00,44,25,15,los+angeles,USA
2020-07-01 16:00:00,46,25,15,los+angeles,USA
2020-07-01 17:00:00,48,24,15,los+angeles,USA
2020-07-01 18:00:00,50,24,15,los+angeles,USA
2020-07-01 19:00:00,55,23,14,los+angeles,USA
2020-07-01 20:00:00,59,22,13,los+angeles,USA
2020-07-01 21:00:00,64,21,12,los+angeles,USA
2020-07-01 22:00:00,67,21,11,los+angeles,USA
2020-07-01 23:00:00,70,20,10,los+angeles,USA
2020-07-02 00:00:00,73,19,9,los+angeles,USA
2020-07-02 01:00:00,74,19,9,los+angeles,USA
2020-07-02 02:00:00,76,19,8,los+angeles,USA
2020-07-02 03:00:00,78,18,8,los+angeles,USA
2020-07-02 04:00:00,77,18,7,los+angeles,USA
2020-07-02 05:00:00,77,18,7,los+angeles,USA
2020-07-02 06:00:00,76,18,6,los+angeles,USA
2020-07-02 07:00:00,73,19,7,los+angeles,USA
2020-07-02 08:00:00,70,20,7,los+angeles,USA
2020-07-02 09:00:00,67,20,8,los+angeles,USA
2020-07-02 10:00:00,61,22,9,los+angeles,USA
2020-07-02 11:00:00,55,23,10,los+angeles,USA
2020-07-02 12:00:00,49,24,12,los+angeles,USA
2020-07-02 13:00:00,45,25,13,los+angeles,USA
2020-07-02 14:00:00,42,26,14,los+angeles,USA
2020-07-02 15:00:00,38,27,15,los+angeles,USA
2020-07-02 16:00:00,39,26,15,los+angeles,USA
2020-07-02 17:00:00,41,26,15,los+angeles,USA
2020-07-02 18:00:00,43,26,15,los+angeles,USA
2020-07-02 19:00:00,48,25,14,los+angeles,USA
2020-07-02 20:00:00,54,24,13,los+angeles,USA
2020-07-02 21:00:00,59,23,12,los+angeles,USA
2020-07-02 22:00:00,61,23,11,los+angeles,USA
2020-07-02 23:00:00,64,22,9,los+angeles,USA
2020-07-03 00:00:00,66,22,7,los+angeles,USA
2020-07-03 01:00:00,67,22,7,los+angeles,USA
2020-07-03 02:00:00,68,22,6,los+angeles,USA
2020-07-03 03:00:00,69,22,6,los+angeles,USA
2020-07-03 04:00:00,69,22,6,los+angeles,USA
2020-07-03 05:00:00,69,22,5,los+angeles,USA
2020-07-03 06:00:00,68,22,5,los+angeles,USA
2020-07-03 07:00:00,64,23,5,los+angeles,USA
2020-07-03 08:00:00,60,23,6,los+angeles,USA
2020-07-03 09:00:00,56,24,6,los+angeles,USA
2020-07-03 10:00:00,49,25,8,los+angeles,USA
2020-07-03 11:00:00,42,27,10,los+angeles,USA
2020-07-03 12:00:00,36,28,12,los+angeles,USA
2020-07-03 13:00:00,33,29,13,los+angeles,USA
2020-07-03 14:00:00,30,29,15,los+angeles,USA
2020-07-03 15:00:00,28,30,17,los+angeles,USA
2020-07-03 16:00:00,29,29,16,los+angeles,USA
2020-07-03 17:00:00,30,29,16,los+angeles,USA
2020-07-03 18:00:00,31,28,16,los+angeles,USA
2020-07-03 19:00:00,34,27,14,los+angeles,USA
2020-07-03 20:00:00,37,27,12,los+angeles,USA
2020-07-03 21:00:00,40,26,11,los+angeles,USA
2020-07-03 22:00:00,42,26,9,los+angeles,USA
2020-07-03 23:00:00,44,25,8,los+angeles,USA
2020-07-04 00:00:00,46,25,7,los+angeles,USA
2020-07-04 01:00:00,48,25,7,los+angeles,USA
2020-07-04 02:00:00,50,25,6,los+angeles,USA
2020-07-04 03:00:00,52,24,6,los+angeles,USA
2020-07-04 04:00:00,52,24,6,los+angeles,USA
2020-07-04 05:00:00,52,24,5,los+angeles,USA
2020-07-04 06:00:00,52,24,5,los+angeles,USA
2020-07-04 07:00:00,48,25,5,los+angeles,USA
2020-07-04 08:00:00,44,26,5,los+angeles,USA
2020-07-04 09:00:00,40,27,6,los+angeles,USA
2020-07-04 10:00:00,35,28,8,los+angeles,USA
2020-07-04 11:00:00,30,29,10,los+angeles,USA
2020-07-04 12:00:00,24,31,12,los+angeles,USA
2020-07-04 13:00:00,23,31,13,los+angeles,USA
2020-07-04 14:00:00,21,32,15,los+angeles,USA
2020-07-04 15:00:00,19,33,17,los+angeles,USA
2020-07-04 16:00:00,21,32,17,los+angeles,USA
2020-07-04 17:00:00,22,31,16,los+angeles,USA
2020-07-04 18:00:00,24,30,16,los+angeles,USA
2020-07-04 19:00:00,28,29,14,los+angeles,USA
2020-07-04 20:00:00,32,27,12,los+angeles,USA
2020-07-04 21:00:00,36,26,10,los+angeles,USA
2020-07-04 22:00:00,39,25,8,los+angeles,USA
2020-07-04 23:00:00,41,25,7,los+angeles,USA
2020-07-05 00:00:00,44,24,6,los+angeles,USA
2020-07-05 01:00:00,47,25,6,los+angeles,USA
2020-07-05 02:00:00,49,25,6,los+angeles,USA
2020-07-05 03:00:00,52,25,6,los+angeles,USA
2020-07-05 04:00:00,53,25,6,los+angeles,USA
2020-07-05 05:00:00,55,25,6,los+angeles,USA
2020-07-05 06:00:00,56,24,5,los+angeles,USA
2020-07-05 07:00:00,52,25,5,los+angeles,USA
2020-07-05 08:00:00,47,26,5,los+angeles,USA
2020-07-05 09:00:00,43,27,4,los+angeles,USA
2020-07-05 10:00:00,37,29,6,los+angeles,USA
2020-07-05 11:00:00,31,30,7,los+angeles,USA
2020-07-05 12:00:00,25,32,9,los+angeles,USA
2020-07-05 13:00:00,24,32,11,los+angeles,USA
2020-07-05 14:00:00,22,33,13,los+angeles,USA
2020-07-05 15:00:00,21,34,15,los+angeles,USA
2020-07-05 16:00:00,22,33,15,los+angeles,USA
2020-07-05 17:00:00,24,33,15,los+angeles,USA
2020-07-05 18:00:00,26,32,15,los+angeles,USA
2020-07-05 19:00:00,30,31,14,los+angeles,USA
2020-07-05 20:00:00,34,30,12,los+angeles,USA
2020-07-05 21:00:00,38,29,11,los+angeles,USA
2020-07-05 22:00:00,41,29,9,los+angeles,USA
2020-07-05 23:00:00,43,28,8,los+angeles,USA
2020-07-06 00:00:00,46,28,6,los+angeles,USA
2020-07-06 01:00:00,48,27,6,los+angeles,USA
2020-07-06 02:00:00,50,27,5,los+angeles,USA
2020-07-06 03:00:00,52,27,5,los+angeles,USA
2020-07-06 04:00:00,51,27,4,los+angeles,USA
2020-07-06 05:00:00,51,27,4,los+angeles,USA
2020-07-06 06:00:00,51,27,4,los+angeles,USA
2020-07-06 07:00:00,47,27,4,los+angeles,USA
2020-07-06 08:00:00,43,28,4,los+angeles,USA
2020-07-06 09:00:00,40,29,4,los+angeles,USA
2020-07-06 10:00:00,35,30,5,los+angeles,USA
2020-07-06 11:00:00,30,31,7,los+angeles,USA
2020-07-06 12:00:00,26,33,9,los+angeles,USA
2020-07-06 13:00:00,23,33,11,los+angeles,USA
2020-07-06 14:00:00,21,34,13,los+angeles,USA
2020-07-06 15:00:00,19,34,15,los+angeles,USA
2020-07-06 16:00:00,20,34,15,los+angeles,USA
2020-07-06 17:00:00,22,33,15,los+angeles,USA
2020-07-06 18:00:00,23,32,15,los+angeles,USA
2020-07-06 19:00:00,26,31,14,los+angeles,USA
2020-07-06 20:00:00,29,30,12,los+angeles,USA
2020-07-06 21:00:00,33,29,11,los+angeles,USA
2020-07-06 22:00:00,37,29,10,los+angeles,USA
2020-07-06 23:00:00,42,28,9,los+angeles,USA
2020-07-07 00:00:00,47,27,8,los+angeles,USA
2020-07-07 01:00:00,52,26,8,los+angeles,USA
2020-07-07 02:00:00,57,26,7,los+angeles,USA
2020-07-07 03:00:00,62,25,7,los+angeles,USA
2020-07-07 04:00:00,61,25,6,los+angeles,USA
2020-07-07 05:00:00,61,25,5,los+angeles,USA
2020-07-07 06:00:00,60,25,5,los+angeles,USA
2020-07-07 07:00:00,56,26,5,los+angeles,USA
2020-07-07 08:00:00,52,27,5,los+angeles,USA
2020-07-07 09:00:00,48,28,5,los+angeles,USA
2020-07-07 10:00:00,42,29,7,los+angeles,USA
2020-07-07 11:00:00,36,30,9,los+angeles,USA
2020-07-07 12:00:00,31,31,12,los+angeles,USA
2020-07-07 13:00:00,29,32,13,los+angeles,USA
2020-07-07 14:00:00,27,32,14,los+angeles,USA
2020-07-07 15:00:00,25,33,16,los+angeles,USA
2020-07-07 16:00:00,27,32,16,los+angeles,USA
2020-07-07 17:00:00,29,31,15,los+angeles,USA
2020-07-07 18:00:00,32,31,15,los+angeles,USA
2020-07-07 19:00:00,36,29,14,los+angeles,USA
2020-07-07 20:00:00,41,28,12,los+angeles,USA
2020-07-07 21:00:00,46,27,11,los+angeles,USA
2020-07-07 22:00:00,49,26,10,los+angeles,USA
2020-07-07 23:00:00,53,26,9,los+angeles,USA
2020-07-08 00:00:00,56,25,8,los+angeles,USA
2020-07-08 01:00:00,58,25,7,los+angeles,USA
2020-07-08 02:00:00,60,25,7,los+angeles,USA
2020-07-08 03:00:00,63,24,6,los+angeles,USA
2020-07-08 04:00:00,63,24,6,los+angeles,USA
2020-07-08 05:00:00,63,24,6,los+angeles,USA
2020-07-08 06:00:00,64,24,6,los+angeles,USA
2020-07-08 07:00:00,61,24,6,los+angeles,USA
2020-07-08 08:00:00,57,25,6,los+angeles,USA
2020-07-08 09:00:00,54,26,6,los+angeles,USA
2020-07-08 10:00:00,48,27,8,los+angeles,USA
2020-07-08 11:00:00,42,28,10,los+angeles,USA
2020-07-08 12:00:00,36,29,12,los+angeles,USA
2020-07-08 13:00:00,34,30,13,los+angeles,USA
2020-07-08 14:00:00,31,30,14,los+angeles,USA
2020-07-08 15:00:00,28,30,15,los+angeles,USA
2020-07-08 16:00:00,31,30,15,los+angeles,USA
2020-07-08 17:00:00,33,29,14,los+angeles,USA
2020-07-08 18:00:00,35,28,14,los+angeles,USA
2020-07-08 19:00:00,41,27,13,los+angeles,USA
2020-07-08 20:00:00,48,26,12,los+angeles,USA
2020-07-08 21:00:00,54,25,11,los+angeles,USA
2020-07-08 22:00:00,57,24,10,los+angeles,USA
2020-07-08 23:00:00,59,24,9,los+angeles,USA
2020-07-09 00:00:00,62,23,8,los+angeles,USA
2020-07-09 01:00:00,64,23,7,los+angeles,USA
2020-07-09 02:00:00,65,23,7,los+angeles,USA
2020-07-09 03:00:00,67,22,7,los+angeles,USA
2020-07-09 04:00:00,67,22,6,los+angeles,USA
2020-07-09 05:00:00,67,22,6,los+angeles,USA
2020-07-09 06:00:00,67,22,5,los+angeles,USA
